,invoice_id,customer_id,invoice_date,billing_address,billing_city,billing_state,billing_country,billing_postal_code,total,latlon,weather_json,weather_desc,weather_state,precipitation,FeelsLikeF
10,11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,"(51.5328780404, -0.0783149826909)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'28', u'FeelsLikeF': u'26', u'FeelsLikeC': u'-3', u'DewPointC': u'2', u'windspeedMiles': u'17', u'DewPointF': u'35', u'HeatIndexF': u'35', u'cloudcover': u'100', u'HeatIndexC': u'2', u'precipMM': u'16.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png'}], u'WindGustMiles': u'21', u'pressure': u'988', u'WindGustKmph': u'34', u'weatherDesc': [{u'value': u'Moderate rain'}], u'winddir16Point': u'NNE', u'weatherCode': u'302', u'tempC': u'2', u'tempF': u'35', u'WindChillF': u'26', u'WindChillC': u'-3', u'winddirDegree': u'13', u'humidity': u'100', u'visibility': u'7', u'time': u'24'}], u'maxtempF': u'35', u'mintempF': u'29', u'mintempC': u'-2', u'maxtempC': u'2', u'date': u'2009-02-06', u'astronomy': [{u'sunset': u'04:59 PM', u'moonset': u'05:35 AM', u'moonrise': u'12:44 PM', u'sunrise': u'07:31 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 51.53 and Lon -0.08', u'type': u'LatLon'}]}}",Moderate rain,Rain,16.5,26.0
11,12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,"(48.7667, 9.1833)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'34', u'FeelsLikeF': u'25', u'FeelsLikeC': u'-4', u'DewPointC': u'0', u'windspeedMiles': u'21', u'DewPointF': u'32', u'HeatIndexF': u'35', u'cloudcover': u'91', u'HeatIndexC': u'1', u'precipMM': u'5.7', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png'}], u'WindGustMiles': u'17', u'pressure': u'1015', u'WindGustKmph': u'28', u'weatherDesc': [{u'value': u'Moderate or heavy snow showers'}], u'winddir16Point': u'WNW', u'weatherCode': u'371', u'tempC': u'1', u'tempF': u'35', u'WindChillF': u'25', u'WindChillC': u'-4', u'winddirDegree': u'302', u'humidity': u'89', u'visibility': u'7', u'time': u'24'}], u'maxtempF': u'35', u'mintempF': u'26', u'mintempC': u'-4', u'maxtempC': u'1', u'date': u'2009-02-11', u'astronomy': [{u'sunset': u'05:38 PM', u'moonset': u'08:11 AM', u'moonrise': u'08:24 PM', u'sunrise': u'07:38 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 48.77 and Lon 9.18', u'type': u'LatLon'}]}}",Moderate or heavy snow showers,Snow,5.7,25.0
12,13,16,2009-02-19,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99,"(45.1847222, -88.4736111)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'29', u'FeelsLikeF': u'2', u'FeelsLikeC': u'-17', u'DewPointC': u'-12', u'windspeedMiles': u'18', u'DewPointF': u'11', u'HeatIndexF': u'17', u'cloudcover': u'56', u'HeatIndexC': u'-8', u'precipMM': u'1.2', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'}], u'WindGustMiles': u'20', u'pressure': u'1016', u'WindGustKmph': u'32', u'weatherDesc': [{u'value': u'Partly Cloudy '}], u'winddir16Point': u'NW', u'weatherCode': u'116', u'tempC': u'-8', u'tempF': u'17', u'WindChillF': u'2', u'WindChillC': u'-17', u'winddirDegree': u'316', u'humidity': u'76', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'17', u'mintempF': u'12', u'mintempC': u'-11', u'maxtempC': u'-8', u'date': u'2009-02-19', u'astronomy': [{u'sunset': u'06:27 PM', u'moonset': u'01:03 PM', u'moonrise': u'04:52 AM', u'sunrise': u'07:49 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 45.18 and Lon -88.47', u'type': u'LatLon'}]}}",Partly Cloudy ,Clouds,1.2,2.0
13,14,17,2009-03-04,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,"(47.6741667, -122.1202778)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'10', u'FeelsLikeF': u'42', u'FeelsLikeC': u'6', u'DewPointC': u'2', u'windspeedMiles': u'6', u'DewPointF': u'35', u'HeatIndexF': u'43', u'cloudcover': u'6', u'HeatIndexC': u'6', u'precipMM': u'0.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}], u'WindGustMiles': u'3', u'pressure': u'1013', u'WindGustKmph': u'5', u'weatherDesc': [{u'value': u'Sunny'}], u'winddir16Point': u'WSW', u'weatherCode': u'113', u'tempC': u'9', u'tempF': u'48', u'WindChillF': u'42', u'WindChillC': u'6', u'winddirDegree': u'249', u'humidity': u'74', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'48', u'mintempF': u'36', u'mintempC': u'2', u'maxtempC': u'9', u'date': u'2009-03-04', u'astronomy': [{u'sunset': u'06:58 PM', u'moonset': u'03:28 AM', u'moonrise': u'11:18 AM', u'sunrise': u'07:43 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 47.67 and Lon -122.12', u'type': u'LatLon'}]}}",Sunny,Sun,0.5,42.0
14,15,19,2009-03-04,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,"(37.318, -122.0449)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'15', u'FeelsLikeF': u'43', u'FeelsLikeC': u'6', u'DewPointC': u'5', u'windspeedMiles': u'10', u'DewPointF': u'41', u'HeatIndexF': u'46', u'cloudcover': u'24', u'HeatIndexC': u'8', u'precipMM': u'17.8', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'}], u'WindGustMiles': u'9', u'pressure': u'1018', u'WindGustKmph': u'15', u'weatherDesc': [{u'value': u'Patchy rain nearby'}], u'winddir16Point': u'SSW', u'weatherCode': u'176', u'tempC': u'13', u'tempF': u'55', u'WindChillF': u'43', u'WindChillC': u'6', u'winddirDegree': u'204', u'humidity': u'83', u'visibility': u'9', u'time': u'24'}], u'maxtempF': u'55', u'mintempF': u'41', u'mintempC': u'5', u'maxtempC': u'13', u'date': u'2009-03-04', u'astronomy': [{u'sunset': u'07:06 PM', u'moonset': u'02:41 AM', u'moonrise': u'12:04 PM', u'sunrise': u'07:35 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 37.32 and Lon -122.04', u'type': u'LatLon'}]}}",Patchy rain nearby,Rain,17.8,43.0
15,16,21,2009-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,"(39.5354, -119.8374)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'10', u'FeelsLikeF': u'24', u'FeelsLikeC': u'-5', u'DewPointC': u'-7', u'windspeedMiles': u'6', u'DewPointF': u'20', u'HeatIndexF': u'28', u'cloudcover': u'9', u'HeatIndexC': u'-3', u'precipMM': u'0.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}], u'WindGustMiles': u'6', u'pressure': u'1022', u'WindGustKmph': u'9', u'weatherDesc': [{u'value': u'Sunny'}], u'winddir16Point': u'SW', u'weatherCode': u'113', u'tempC': u'4', u'tempF': u'40', u'WindChillF': u'24', u'WindChillC': u'-5', u'winddirDegree': u'234', u'humidity': u'73', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'40', u'mintempF': u'21', u'mintempC': u'-6', u'maxtempC': u'4', u'date': u'2009-03-05', u'astronomy': [{u'sunset': u'06:56 PM', u'moonset': u'03:42 AM', u'moonrise': u'12:52 PM', u'sunrise': u'07:26 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 39.54 and Lon -119.84', u'type': u'LatLon'}]}}",Sunny,Sun,0.5,24.0
16,17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,"(43.0775, -89.3831)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'19', u'FeelsLikeF': u'42', u'FeelsLikeC': u'6', u'DewPointC': u'6', u'windspeedMiles': u'12', u'DewPointF': u'42', u'HeatIndexF': u'47', u'cloudcover': u'21', u'HeatIndexC': u'8', u'precipMM': u'0.9', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}], u'WindGustMiles': u'11', u'pressure': u'1013', u'WindGustKmph': u'18', u'weatherDesc': [{u'value': u'Sunny'}], u'winddir16Point': u'WNW', u'weatherCode': u'113', u'tempC': u'10', u'tempF': u'51', u'WindChillF': u'42', u'WindChillC': u'6', u'winddirDegree': u'298', u'humidity': u'83', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'51', u'mintempF': u'33', u'mintempC': u'1', u'maxtempC': u'10', u'date': u'2009-03-06', u'astronomy': [{u'sunset': u'06:53 PM', u'moonset': u'04:42 AM', u'moonrise': u'01:45 PM', u'sunrise': u'07:25 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 43.08 and Lon -89.38', u'type': u'LatLon'}]}}",Sunny,Sun,0.9,42.0
17,18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,"(44.65, -63.6)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'21', u'FeelsLikeF': u'25', u'FeelsLikeC': u'-4', u'DewPointC': u'-2', u'windspeedMiles': u'13', u'DewPointF': u'28', u'HeatIndexF': u'33', u'cloudcover': u'50', u'HeatIndexC': u'1', u'precipMM': u'0.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'}], u'WindGustMiles': u'12', u'pressure': u'1018', u'WindGustKmph': u'19', u'weatherDesc': [{u'value': u'Partly Cloudy '}], u'winddir16Point': u'N', u'weatherCode': u'116', u'tempC': u'1', u'tempF': u'33', u'WindChillF': u'25', u'WindChillC': u'-4', u'winddirDegree': u'6', u'humidity': u'84', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'33', u'mintempF': u'26', u'mintempC': u'-4', u'maxtempC': u'1', u'date': u'2009-03-09', u'astronomy': [{u'sunset': u'07:13 PM', u'moonset': u'06:42 AM', u'moonrise': u'05:48 PM', u'sunrise': u'07:38 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 44.65 and Lon -63.60', u'type': u'LatLon'}]}}",Partly Cloudy ,Clouds,0.5,25.0
18,19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,"(48.8655, 2.3426)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'19', u'FeelsLikeF': u'53', u'FeelsLikeC': u'12', u'DewPointC': u'9', u'windspeedMiles': u'12', u'DewPointF': u'47', u'HeatIndexF': u'56', u'cloudcover': u'78', u'HeatIndexC': u'13', u'precipMM': u'0.2', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png'}], u'WindGustMiles': u'14', u'pressure': u'1019', u'WindGustKmph': u'23', u'weatherDesc': [{u'value': u'Cloudy '}], u'winddir16Point': u'WNW', u'weatherCode': u'119', u'tempC': u'13', u'tempF': u'56', u'WindChillF': u'53', u'WindChillC': u'12', u'winddirDegree': u'288', u'humidity': u'72', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'56', u'mintempF': u'41', u'mintempC': u'5', u'maxtempC': u'13', u'date': u'2009-03-14', u'astronomy': [{u'sunset': u'06:54 PM', u'moonset': u'07:55 AM', u'moonrise': u'11:32 PM', u'sunrise': u'07:06 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 48.87 and Lon 2.34', u'type': u'LatLon'}]}}",Cloudy ,Clouds,0.2,53.0
19,20,54,2009-03-22,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,0.99,"(55.9594005587, -3.2124232419)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'35', u'FeelsLikeF': u'40', u'FeelsLikeC': u'4', u'DewPointC': u'5', u'windspeedMiles': u'21', u'DewPointF': u'41', u'HeatIndexF': u'47', u'cloudcover': u'78', u'HeatIndexC': u'8', u'precipMM': u'1.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png'}], u'WindGustMiles': u'32', u'pressure': u'1028', u'WindGustKmph': u'52', u'weatherDesc': [{u'value': u'Light drizzle'}], u'winddir16Point': u'W', u'weatherCode': u'266', u'tempC': u'9', u'tempF': u'48', u'WindChillF': u'40', u'WindChillC': u'4', u'winddirDegree': u'271', u'humidity': u'80', u'visibility': u'2', u'time': u'24'}], u'maxtempF': u'48', u'mintempF': u'40', u'mintempC': u'4', u'maxtempC': u'9', u'date': u'2009-03-22', u'astronomy': [{u'sunset': u'06:31 PM', u'moonset': u'01:34 PM', u'moonrise': u'04:55 AM', u'sunrise': u'06:10 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 55.96 and Lon -3.21', u'type': u'LatLon'}]}}",Light drizzle,Clouds,1.5,40.0
